Date,Open,High,Low,Close,Adj Close,Volume
2018-02-21,1.235400,1.238050,1.230100,1.232150,1.232150,325966
2018-02-22,1.229500,1.237000,1.227700,1.234900,1.234900,220540
2018-02-23,1.234600,1.235400,1.229650,1.231350,1.231350,222821
2018-02-25,null,null,null,null,null,null
2018-02-26,1.230550,1.237150,1.229450,1.232750,1.232750,0
2018-02-27,1.232750,1.236200,1.223650,1.225300,1.225300,177858
2018-02-28,1.224900,1.225650,1.220200,1.221700,1.221700,280019
2018-03-01,1.220600,1.228550,1.216600,1.226550,1.226550,216326
2018-03-02,1.228350,1.234750,1.226250,1.234100,1.234100,272621
2018-03-04,null,null,null,null,null,null
2018-03-05,1.235600,1.236000,1.227900,1.233550,1.233550,208998
2018-03-06,1.234400,1.243000,1.233750,1.241400,1.241400,212186
2018-03-07,1.242950,1.246150,1.239300,1.241350,1.241350,218947
2018-03-08,1.241550,1.245350,1.230400,1.231200,1.231200,205870
2018-03-09,1.231750,1.234000,1.227850,1.232050,1.232050,372406
2018-03-11,null,null,null,null,null,null
2018-03-12,1.231800,1.235050,1.229450,1.234150,1.234150,240854
2018-03-13,1.233750,1.241200,1.231900,1.240200,1.240200,204675
2018-03-14,1.239700,1.241650,1.235100,1.237850,1.237850,325993
2018-03-15,1.237000,1.238550,1.230150,1.230500,1.230500,356237
2018-03-16,1.230400,1.233650,1.226000,1.228550,1.228550,334000
2018-03-18,null,null,null,null,null,null
2018-03-19,1.229000,1.232550,1.226000,1.231950,1.231950,149648
2018-03-20,1.236700,1.238100,1.227150,1.227900,1.227900,1145
2018-03-21,1.227350,1.237300,1.227350,1.235450,1.235450,748
2018-03-22,1.236350,1.240550,1.231100,1.232950,1.232950,2184
2018-03-23,1.234550,1.239400,1.234200,1.238950,1.238950,2352
2018-03-25,null,null,null,null,null,null
2018-03-26,1.238100,1.247900,1.237900,1.247650,1.247650,3944
2018-03-27,1.247650,1.249500,1.239500,1.242050,1.242050,1497
2018-03-28,1.242500,1.242550,1.231500,1.232450,1.232450,2061
2018-03-29,1.232200,1.234500,1.229850,1.230200,1.230200,3673
2018-04-01,null,null,null,null,null,null
2018-04-02,1.233300,1.235500,1.229800,1.231150,1.231150,1512
